TYPE,COMMON-NAME,FRENCH-NAME,ENGLISH-NAME,CODE,CODE-NUMBER
,Ringed Kingfisher,Martin-pêcheur à ventre roux,Megaceryle torquata,RIKI,2.0
,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,BEKI,1.0
,Green Kingfisher,Martin-pêcheur vert,Chloroceryle americana,GKIN,2.0
,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,LEWO,1.0
,Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,RHWO,1.0
,Acorn Woodpecker,Pic glandivore,Melanerpes formicivorus,ACWO,1.0
,Gila Woodpecker,Pic des saguaros,Melanerpes uropygialis,GIWO,1.0
,Golden-fronted Woodpecker,Pic à front doré,Melanerpes aurifrons,GFWO,1.0
,Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,RBWO,1.0
,Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,WISA,1.0
,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,YBSA,1.0
,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,RNSA,1.0
,Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,RBSA,1.0
,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,ATTW,2.0
,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,BBWO,2.0
,Downy Woodpecker,Pic mineur,Dryobates pubescens,DOWO,1.0
,Nuttall's Woodpecker,Pic de Nuttall,Dryobates nuttallii,NUWO,1.0
,Ladder-backed Woodpecker,Pic arlequin,Dryobates scalaris,LBWO,1.0
,Red-cockaded Woodpecker,Pic à face blanche,Dryobates borealis,RCWO,2.0
,Hairy Woodpecker,Pic chevelu,Dryobates villosus,HAWO,1.0
,White-headed Woodpecker,Pic à tête blanche,Dryobates albolarvatus,WHWO,1.0
,Arizona Woodpecker,Pic d'Arizona,Dryobates arizonae,ARWO,2.0
,Northern Flicker,Pic flamboyant,Colaptes auratus,NOFL,1.0
,Gilded Flicker,Pic chrysoïde,Colaptes chrysoides,GIFL,2.0
,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,PIWO,1.0
,Crested Caracara,Caracara du Nord,Caracara cheriway,CRCA,2.0
,American Kestrel,Crécerelle d'Amérique,Falco sparverius,AMKE,1.0
,Merlin,Faucon émerillon,Falco columbarius,MERL,1.0
,Gyrfalcon,Faucon gerfaut,Falco rusticolus,GYRF,2.0
,Peregrine Falcon,Faucon pèlerin,Falco peregrinus,PEFA,1.0
,Prairie Falcon,Faucon des prairies,Falco mexicanus,PRFA,1.0
,Monk Parakeet,Conure veuve,Myiopsitta monachus,MOPA,2.0
,Nanday Parakeet,Conure nanday,Aratinga nenday,NAPA,2.0
,Green Parakeet,Conure verte,Psittacara holochlorus,GREP,2.0
,Mitred Parakeet,Conure mitrée,Psittacara mitratus,MIPA,2.0
,White-winged Parakeet,Toui à ailes variées,Brotogeris versicolurus,WWPA,2.0
,Yellow-chevroned Parakeet,Toui à ailes jaunes,Brotogeris chiriri,YCPA,2.0
,Red-crowned Parrot,Amazone à joues vertes,Amazona viridigenalis,RCPA,2.0
,Rose-ringed Parakeet,Perruche à collier,Psittacula krameri,RRPA,2.0
,Rosy-faced Lovebird,Inséparable rosegorge,Agapornis roseicollis,RFLO,2.0
,Northern Beardless-Tyrannulet,Tyranneau imberbe,Camptostoma imberbe,NOBT,2.0
,Dusky-capped Flycatcher,Tyran olivâtre,Myiarchus tuberculifer,DCFL,2.0
,Ash-throated Flycatcher,Tyran à gorge cendrée,Myiarchus cinerascens,ATFL,1.0
,Great Crested Flycatcher,Tyran huppé,Myiarchus crinitus,GCFL,1.0
,Brown-crested Flycatcher,Tyran de Wied,Myiarchus tyrannulus,BCFL,1.0
,Great Kiskadee,Tyran quiquivi,Pitangus sulphuratus,GKIS,2.0
,Sulphur-bellied Flycatcher,Tyran tigré,Myiodynastes luteiventris,SBFL,2.0
,Tropical Kingbird,Tyran mélancolique,Tyrannus melancholicus,TRKI,2.0
,Couch's Kingbird,Tyran de Couch,Tyrannus couchii,COKI,2.0
,Cassin's Kingbird,Tyran de Cassin,Tyrannus vociferans,CAKI,1.0
,Thick-billed Kingbird,Tyran à bec épais,Tyrannus crassirostris,TBKI,2.0
,Western Kingbird,Tyran de l'Ouest,Tyrannus verticalis,WEKI,1.0
,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,EAKI,1.0
,Gray Kingbird,Tyran gris,Tyrannus dominicensis,GRAK,2.0
,Scissor-tailed Flycatcher,Tyran à longue queue,Tyrannus forficatus,STFL,1.0
,Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,OSFL,1.0
,Greater Pewee,Moucherolle de Coues,Contopus pertinax,GRPE,2.0
,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,WEWP,1.0
,Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,EAWP,1.0
,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,YBFL,1.0
,Acadian Flycatcher,Moucherolle vert,Empidonax virescens,ACFL,1.0
,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,ALFL,1.0
,Willow Flycatcher,Moucherolle des saules,Empidonax traillii,WIFL,1.0
,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,LEFL,1.0
,Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,HAFL,1.0
,Gray Flycatcher,Moucherolle gris,Empidonax wrightii,GRFL,1.0
,Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,DUFL,1.0
,Pacific-slope Flycatcher,Moucherolle côtier,Empidonax difficilis,PSFL,1.0
,Cordilleran Flycatcher,Moucherolle des ravins,Empidonax occidentalis,COFL,1.0
,Buff-breasted Flycatcher,Moucherolle beige,Empidonax fulvifrons,BBFL,2.0
,Black Phoebe,Moucherolle noir,Sayornis nigricans,BLPH,1.0
,Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,EAPH,1.0
,Say's Phoebe,Moucherolle à ventre roux,Sayornis saya,SAPH,1.0
,Vermilion Flycatcher,Moucherolle vermillon,Pyrocephalus rubinus,VEFL,1.0
,Loggerhead Shrike,Pie-grièche migratrice,Lanius ludovicianus,LOSH,1.0
,Northern Shrike,Pie-grièche boréale,Lanius borealis,NSHR,1.0
,Black-capped Vireo,Viréo à tête noire,Vireo atricapilla,BCVI,2.0
,White-eyed Vireo,Viréo aux yeux blancs,Vireo griseus,WEVI,1.0
,Bell's Vireo,Viréo de Bell,Vireo bellii,BEVI,1.0
,Gray Vireo,Viréo gris,Vireo vicinior,GRVI,2.0
,Hutton's Vireo,Viréo de Hutton,Vireo huttoni,HUVI,1.0
,Yellow-throated Vireo,Viréo à gorge jaune,Vireo flavifrons,YTVI,1.0
,Cassin's Vireo,Viréo de Cassin,Vireo cassinii,CAVI,1.0
,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,BHVI,1.0
,Plumbeous Vireo,Viréo plombé,Vireo plumbeus,PLVI,1.0
,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,PHVI,1.0
,Warbling Vireo,Viréo mélodieux,Vireo gilvus,WAVI,1.0
,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,REVI,1.0
,Black-whiskered Vireo,Viréo à moustaches,Vireo altiloquus,BWVI,2.0
,Canada Jay,Mésangeai du Canada,Perisoreus canadensis,CAJA,1.0
,Green Jay,Geai vert,Cyanocorax yncas,GRJA,2.0
,Pinyon Jay,Geai des pinèdes,Gymnorhinus cyanocephalus,PIJA,1.0
,Steller's Jay,Geai de Steller,Cyanocitta stelleri,STJA,1.0
,Blue Jay,Geai bleu,Cyanocitta cristata,BLJA,1.0
,Florida Scrub-Jay,Geai à gorge blanche,Aphelocoma coerulescens,FLSJ,2.0
,Island Scrub-Jay,Geai de Santa Cruz,Aphelocoma insularis,ISSJ,2.0
,California Scrub-Jay,Geai buissonnier,Aphelocoma californica,CASJ,1.0
,Woodhouse's Scrub-Jay,Geai de Woodhouse,Aphelocoma woodhouseii,WOSJ,1.0
,Mexican Jay,Geai du Mexique,Aphelocoma wollweberi,MEJA,2.0
,Clark's Nutcracker,Cassenoix d'Amérique,Nucifraga columbiana,CLNU,1.0
,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,BBMA,1.0
,Yellow-billed Magpie,Pie à bec jaune,Pica nuttalli,YBMA,2.0
,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,AMCR,1.0
,Fish Crow,Corneille de rivage,Corvus ossifragus,FICR,1.0
,Chihuahuan Raven,Corbeau à cou blanc,Corvus cryptoleucus,CHRA,1.0
,Common Raven,Grand Corbeau,Corvus corax,CORA,1.0
,Kauai Elepaio,Monarque de Kauai,Chasiempis sclateri,KAEL,2.0
,Hawaii Elepaio,Monarque d'Hawaï,Chasiempis sandwichensis,HAEL,2.0
,Eurasian Skylark,Alouette des champs,Alauda arvensis,EUSK,2.0
,Horned Lark,Alouette hausse-col,Eremophila alpestris,HOLA,1.0
,Bank Swallow,Hirondelle de rivage,Riparia riparia,BANS,1.0
,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,TRES,1.0
,Violet-green Swallow,Hirondelle à face blanche,Tachycineta thalassina,VGSW,1.0
,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,NRWS,1.0
,Purple Martin,Hirondelle noire,Progne subis,PUMA,1.0
,Barn Swallow,Hirondelle rustique,Hirundo rustica,BARS,1.0
,Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonota,CLSW,1.0
,Cave Swallow,Hirondelle à front brun,Petrochelidon fulva,CASW,1.0
,Carolina Chickadee,Mésange de Caroline,Poecile carolinensis,CACH,1.0
,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,BCCH,1.0
,Mountain Chickadee,Mésange de Gambel,Poecile gambeli,MOCH,1.0
,Mexican Chickadee,Mésange grise,Poecile sclateri,MECH,2.0
,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,CBCH,1.0
,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,BOCH,1.0
,Bridled Titmouse,Mésange arlequin,Baeolophus wollweberi,BRTI,2.0
,Oak Titmouse,Mésange unicolore,Baeolophus inornatus,OATI,1.0
,Juniper Titmouse,Mésange des genévriers,Baeolophus ridgwayi,JUTI,1.0
,Tufted Titmouse,Mésange bicolore,Baeolophus bicolor,TUTI,1.0
,Black-crested Titmouse,Mésange à plumet noir,Baeolophus atricristatus,BCTI,2.0
,Verdin,Auripare verdin,Auriparus flaviceps,VERD,1.0
,Bushtit,Mésange buissonnière,Psaltriparus minimus,BUSH,1.0
,Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,RBNU,1.0
,White-breasted Nuthatch,Sittelle à poitrine blanche,Sitta carolinensis,WBNU,1.0
,Pygmy Nuthatch,Sittelle pygmée,Sitta pygmaea,PYNU,1.0
,Brown-headed Nuthatch,Sittelle à tête brune,Sitta pusilla,BHNU,1.0
,Brown Creeper,Grimpereau brun,Certhia americana,BRCR,1.0
,Rock Wren,Troglodyte des rochers,Salpinctes obsoletus,ROWR,1.0
,Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,CANW,1.0
,House Wren,Troglodyte familier,Troglodytes aedon,HOWR,1.0
,Pacific Wren,Troglodyte de Baird,Troglodytes pacificus,PAWR,1.0
,Winter Wren,Troglodyte des forêts,Troglodytes hiemalis,WIWR,1.0
,Sedge Wren,Troglodyte à bec court,Cistothorus platensis,SEWR,1.0
,Marsh Wren,Troglodyte des marais,Cistothorus palustris,MAWR,1.0
,Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,CARW,1.0
,Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,BEWR,1.0
,Cactus Wren,Troglodyte des cactus,Campylorhynchus brunneicapillus,CACW,1.0
,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,BGGN,1.0
,California Gnatcatcher,Gobemoucheron de Californie,Polioptila californica,CAGN,2.0
,Black-tailed Gnatcatcher,Gobemoucheron à queue noire,Polioptila melanura,BTGN,1.0
,American Dipper,Cincle d'Amérique,Cinclus mexicanus,AMDI,1.0
,Red-vented Bulbul,Bulbul à ventre rouge,Pycnonotus cafer,RVBU,2.0
,Red-whiskered Bulbul,Bulbul orphée,Pycnonotus jocosus,RWBU,2.0
,Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,GCKI,1.0
,Ruby-crowned Kinglet,Roitelet à couronne rubis,Regulus calendula,RCKI,1.0
,Japanese Bush-Warbler,Bouscarle chanteuse,Horornis diphone,JABW,2.0
,Arctic Warbler,Pouillot boréal,Phylloscopus borealis,ARWA,2.0
,Wrentit,Cama brune,Chamaea fasciata,WREN,1.0
,Warbling White-eye,Zostérops du Japon,Zosterops japonicus,WAWE,2.0
,Hwamei,Garrulaxe hoamy,Garrulax canorus,HWAM,2.0
,Red-billed Leiothrix,Léiothrix jaune,Leiothrix lutea,RBLE,2.0
,White-rumped Shama,Shama à croupion blanc,Copsychus malabaricus,WRSH,2.0
,Bluethroat,Gorgebleue à miroir,Cyanecula svecica,BLUE,2.0
,Northern Wheatear,Traquet motteux,Oenanthe oenanthe,NOWH,2.0
,Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,EABL,1.0
,Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,WEBL,1.0
,Mountain Bluebird,Merlebleu azuré,Sialia currucoides,MOBL,1.0
,Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,TOSO,1.0
,Omao,Solitaire d'Hawaï,Myadestes obscurus,OMAO,2.0
,Veery,Grive fauve,Catharus fuscescens,VEER,1.0
,Gray-cheeked Thrush,Grive à joues grises,Catharus minimus,GCTH,1.0
,Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,BITH,2.0
,Swainson's Thrush,Grive à dos olive,Catharus ustulatus,SWTH,1.0
,Hermit Thrush,Grive solitaire,Catharus guttatus,HETH,1.0
,Wood Thrush,Grive des bois,Hylocichla mustelina,WOTH,1.0
,Clay-colored Thrush,Merle fauve,Turdus grayi,CCTH,2.0
,American Robin,Merle d'Amérique,Turdus migratorius,AMRO,1.0
,Varied Thrush,Grive à collier,Ixoreus naevius,VATH,1.0
,Gray Catbird,Moqueur chat,Dumetella carolinensis,GRCA,1.0
,Curve-billed Thrasher,Moqueur à bec courbe,Toxostoma curvirostre,CBTH,1.0
,Brown Thrasher,Moqueur roux,Toxostoma rufum,BRTH,1.0
,Long-billed Thrasher,Moqueur à long bec,Toxostoma longirostre,LBTH,2.0
,Bendire's Thrasher,Moqueur de Bendire,Toxostoma bendirei,BETH,2.0
,California Thrasher,Moqueur de Californie,Toxostoma redivivum,CATH,2.0
,LeConte's Thrasher,Moqueur de LeConte,Toxostoma lecontei,LCTH,2.0
,Crissal Thrasher,Moqueur cul-roux,Toxostoma crissale,CRTH,2.0
,Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,SATH,1.0
,Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,NOMO,1.0
,European Starling,Étourneau sansonnet,Sturnus vulgaris,EUST,1.0
,Common Myna,Martin triste,Acridotheres tristis,COMY,2.0
,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,BOWA,2.0
,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,CEDW,1.0
,Phainopepla,Phénopèple luisant,Phainopepla nitens,PHAI,1.0
,Olive Warbler,Fauvine des pins,Peucedramus taeniatus,OLWA,2.0
,Common Waxbill,Astrild ondulé,Estrilda astrild,COMW,2.0
,Red Avadavat,Bengali rouge,Amandava amandava,REAV,2.0
,African Silverbill,Capucin bec-d'argent,Euodice cantans,AFSI,2.0
,Java Sparrow,Padda de Java,Lonchura oryzivora,JASP,2.0
,Scaly-breasted Munia,Capucin damier,Lonchura punctulata,SBMU,2.0
,Chestnut Munia,Capucin à tête noire,Lonchura atricapilla,CHMU,2.0
,House Sparrow,Moineau domestique,Passer domesticus,HOSP,1.0
,Eurasian Tree Sparrow,Moineau friquet,Passer montanus,ETSP,2.0
,Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,EYWA,2.0
,American Pipit,Pipit d'Amérique,Anthus rubescens,AMPI,1.0
,Sprague's Pipit,Pipit de Sprague,Anthus spragueii,SPPI,2.0
,Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,EVGR,1.0
,Maui Alauahio,Alauahio de Maui,Paroreomyza montana,MAAL,2.0
,Apapane,Picchion cramoisi,Himatione sanguinea,APAP,2.0
,Iiwi,Iiwi rouge,Drepanis coccinea,IIWI,2.0
,Anianiau,Anianiau de Kauai,Magumma parva,ANIA,2.0
,Hawaii Amakihi,Amakihi familier,Chlorodrepanis virens,HAAM,2.0
,Oahu Amakihi,Amakihi d'Oahu,Chlorodrepanis flava,OAAM,2.0
,Kauai Amakihi,Amakihi de Stejneger,Chlorodrepanis stejnegeri,KAAM,2.0
,Pine Grosbeak,Durbec des sapins,Pinicola enucleator,PIGR,1.0
,Gray-crowned Rosy-Finch,Roselin à tête grise,Leucosticte tephrocotis,GCRF,1.0
,Black Rosy-Finch,Roselin noir,Leucosticte atrata,BLRF,2.0
,Brown-capped Rosy-Finch,Roselin à tête brune,Leucosticte australis,BCRF,2.0
,House Finch,Roselin familier,Haemorhous mexicanus,HOFI,1.0
,Purple Finch,Roselin pourpré,Haemorhous purpureus,PUFI,1.0
,Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,CAFI,1.0
,Yellow-fronted Canary,Serin du Mozambique,Crithagra mozambica,YFCA,2.0
,Common Redpoll,Sizerin flammé,Acanthis flammea,CORE,1.0
,Hoary Redpoll,Sizerin blanchâtre,Acanthis hornemanni,HORE,2.0
,Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,RECR,1.0
,Cassia Crossbill,Bec-croisé de l'Idaho,Loxia sinesciuris,CACR,2.0
,White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,WWCR,2.0
,Pine Siskin,Tarin des pins,Spinus pinus,PISI,1.0
,Lesser Goldfinch,Chardonneret mineur,Spinus psaltria,LEGO,1.0
,Lawrence's Goldfinch,Chardonneret gris,Spinus lawrencei,LAGO,2.0
,American Goldfinch,Chardonneret jaune,Spinus tristis,AMGO,1.0
,Lapland Longspur,Plectrophane lapon,Calcarius lapponicus,LALO,1.0
,Chestnut-collared Longspur,Plectrophane à ventre noir,Calcarius ornatus,CCLO,1.0
,Smith's Longspur,Plectrophane de Smith,Calcarius pictus,SMLO,2.0
,Thick-billed Longspur,Plectrophane à bec fort,Rhynchophanes mccownii,MCLO,2.0
,Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,SNBU,1.0
,Rufous-winged Sparrow,Bruant à épaulettes,Peucaea carpalis,RWSP,2.0
,Botteri's Sparrow,Bruant de Botteri,Peucaea botterii,BOSP,2.0
,Cassin's Sparrow,Bruant de Cassin,Peucaea cassinii,CASP,1.0
,Bachman's Sparrow,Bruant des pinèdes,Peucaea aestivalis,BACS,1.0
,Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,GRSP,1.0
,Olive Sparrow,Tohi olive,Arremonops rufivirgatus,OLSP,2.0
,Black-throated Sparrow,Bruant à gorge noire,Amphispiza bilineata,BTSP,1.0
,Lark Sparrow,Bruant à joues marron,Chondestes grammacus,LASP,1.0
,Lark Bunting,Bruant noir et blanc,Calamospiza melanocorys,LARB,1.0
,Chipping Sparrow,Bruant familier,Spizella passerina,CHSP,1.0
,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,CCSP,1.0
,Black-chinned Sparrow,Bruant à menton noir,Spizella atrogularis,BCSP,1.0
,Field Sparrow,Bruant des champs,Spizella pusilla,FISP,1.0
,Brewer's Sparrow,Bruant de Brewer,Spizella breweri,BRSP,1.0
,Fox Sparrow,Bruant fauve,Passerella iliaca,FOSP,1.0
,American Tree Sparrow,Bruant hudsonien,Spizelloides arborea,ATSP,1.0
,Dark-eyed Junco,Junco ardoisé,Junco hyemalis,DEJU,1.0
,Yellow-eyed Junco,Junco aux yeux jaunes,Junco phaeonotus,YEJU,2.0
,White-crowned Sparrow,Bruant à couronne blanche,Zonotrichia leucophrys,WCSP,1.0
,Golden-crowned Sparrow,Bruant à couronne dorée,Zonotrichia atricapilla,GCSP,1.0
,Harris's Sparrow,Bruant à face noire,Zonotrichia querula,HASP,1.0
,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,WTSP,1.0
,Sagebrush Sparrow,Bruant des armoises,Artemisiospiza nevadensis,SABS,1.0
,Bell's Sparrow,Bruant de Bell,Artemisiospiza belli,BESP,1.0
,Vesper Sparrow,Bruant vespéral,Pooecetes gramineus,VESP,1.0
,LeConte's Sparrow,Bruant de LeConte,Ammospiza leconteii,LCSP,1.0
,Seaside Sparrow,Bruant maritime,Ammospiza maritima,SESP,1.0
,Nelson's Sparrow,Bruant de Nelson,Ammospiza nelsoni,NESP,1.0
,Saltmarsh Sparrow,Bruant à queue aiguë,Ammospiza caudacuta,SALS,1.0
,Baird's Sparrow,Bruant de Baird,Centronyx bairdii,BAIS,2.0
,Henslow's Sparrow,Bruant de Henslow,Centronyx henslowii,HESP,2.0
,Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,SAVS,1.0
,Song Sparrow,Bruant chanteur,Melospiza melodia,SOSP,1.0
,Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,LISP,1.0
,Swamp Sparrow,Bruant des marais,Melospiza georgiana,SWSP,1.0
,Canyon Towhee,Tohi des canyons,Melozone fusca,CANT,1.0
,Abert's Towhee,Tohi d'Abert,Melozone aberti,ABTO,1.0
,California Towhee,Tohi de Californie,Melozone crissalis,CALT,1.0
,Rufous-crowned Sparrow,Tohi à calotte fauve,Aimophila ruficeps,RCSP,1.0
,Green-tailed Towhee,Tohi à queue verte,Pipilo chlorurus,GTTO,1.0
,Spotted Towhee,Tohi tacheté,Pipilo maculatus,SPTO,1.0
,Eastern Towhee,Tohi à flancs roux,Pipilo erythrophthalmus,EATO,1.0
,Yellow-breasted Chat,Ictérie polyglotte,Icteria virens,YBCH,1.0
,Yellow-headed Blackbird,Carouge à tête jaune,Xanthocephalus xanthocephalus,YHBL,1.0
,Bobolink,Goglu des prés,Dolichonyx oryzivorus,BOBO,1.0
,Eastern Meadowlark,Sturnelle des prés,Sturnella magna,EAME,1.0
,Western Meadowlark,Sturnelle de l'Ouest,Sturnella neglecta,WEME,1.0
,Orchard Oriole,Oriole des vergers,Icterus spurius,OROR,1.0
,Hooded Oriole,Oriole masqué,Icterus cucullatus,HOOR,1.0
,Bullock's Oriole,Oriole de Bullock,Icterus bullockii,BUOR,1.0
,Spot-breasted Oriole,Oriole maculé,Icterus pectoralis,SBOR,2.0
,Altamira Oriole,Oriole à gros bec,Icterus gularis,ALOR,2.0
,Audubon's Oriole,Oriole d'Audubon,Icterus graduacauda,AUOR,2.0
,Baltimore Oriole,Oriole de Baltimore,Icterus galbula,BAOR,1.0
,Scott's Oriole,Oriole jaune-verdâtre,Icterus parisorum,SCOR,1.0
,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,RWBL,1.0
,Tricolored Blackbird,Carouge de Californie,Agelaius tricolor,TRBL,2.0
,Bronzed Cowbird,Vacher bronzé,Molothrus aeneus,BROC,1.0
,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,BHCO,1.0
,Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,RUBL,1.0
,Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,BRBL,1.0
,Common Grackle,Quiscale bronzé,Quiscalus quiscula,COGR,1.0
,Boat-tailed Grackle,Quiscale des marais,Quiscalus major,BTGR,1.0
,Great-tailed Grackle,Quiscale à longue queue,Quiscalus mexicanus,GTGR,1.0
,Ovenbird,Paruline couronnée,Seiurus aurocapilla,OVEN,1.0
,Worm-eating Warbler,Paruline vermivore,Helmitheros vermivorum,WEWA,1.0
,Louisiana Waterthrush,Paruline hochequeue,Parkesia motacilla,LOWA,1.0
,Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,NOWA,1.0
,Golden-winged Warbler,Paruline à ailes dorées,Vermivora chrysoptera,GWWA,2.0
,Blue-winged Warbler,Paruline à ailes bleues,Vermivora cyanoptera,BWWA,1.0
,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,BAWW,1.0
,Prothonotary Warbler,Paruline orangée,Protonotaria citrea,PROW,1.0
,Swainson's Warbler,Paruline de Swainson,Limnothlypis swainsonii,SWWA,2.0
,Tennessee Warbler,Paruline obscure,Leiothlypis peregrina,TEWA,1.0
,Orange-crowned Warbler,Paruline verdâtre,Leiothlypis celata,OCWA,1.0
,Colima Warbler,Paruline de Colima,Leiothlypis crissalis,COLW,2.0
,Lucy's Warbler,Paruline de Lucy,Leiothlypis luciae,LUWA,1.0
,Nashville Warbler,Paruline à joues grises,Leiothlypis ruficapilla,NAWA,1.0
,Virginia's Warbler,Paruline de Virginia,Leiothlypis virginiae,VIWA,1.0
,Connecticut Warbler,Paruline à gorge grise,Oporornis agilis,CONW,2.0
,MacGillivray's Warbler,Paruline des buissons,Geothlypis tolmiei,MGWA,1.0
,Mourning Warbler,Paruline triste,Geothlypis philadelphia,MOWA,1.0
,Kentucky Warbler,Paruline du Kentucky,Geothlypis formosa,KEWA,1.0
,Common Yellowthroat,Paruline masquée,Geothlypis trichas,COYE,1.0
,Hooded Warbler,Paruline à capuchon,Setophaga citrina,HOWA,1.0
,American Redstart,Paruline flamboyante,Setophaga ruticilla,AMRE,1.0
,Kirtland's Warbler,Paruline de Kirtland,Setophaga kirtlandii,KIWA,2.0
,Cape May Warbler,Paruline tigrée,Setophaga tigrina,CMWA,1.0
,Cerulean Warbler,Paruline azurée,Setophaga cerulea,CERW,2.0
,Northern Parula,Paruline à collier,Setophaga americana,NOPA,1.0
,Magnolia Warbler,Paruline à tête cendrée,Setophaga magnolia,MAWA,1.0
,Bay-breasted Warbler,Paruline à poitrine baie,Setophaga castanea,BBWA,1.0
,Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,BLBW,1.0
,Yellow Warbler,Paruline jaune,Setophaga petechia,YEWA,1.0
,Chestnut-sided Warbler,Paruline à flancs marron,Setophaga pensylvanica,CSWA,1.0
,Blackpoll Warbler,Paruline rayée,Setophaga striata,BLPW,1.0
,Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,BTBW,1.0
,Palm Warbler,Paruline à couronne rousse,Setophaga palmarum,PAWA,1.0
,Pine Warbler,Paruline des pins,Setophaga pinus,PIWA,1.0
,Yellow-rumped Warbler,Paruline à croupion jaune,Setophaga coronata,YRWA,1.0
,Yellow-throated Warbler,Paruline à gorge jaune,Setophaga dominica,YTWA,1.0
,Prairie Warbler,Paruline des prés,Setophaga discolor,PRAW,1.0
,Grace's Warbler,Paruline de Grace,Setophaga graciae,GRWA,1.0
,Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,BTYW,1.0
,Townsend's Warbler,Paruline de Townsend,Setophaga townsendi,TOWA,1.0
,Hermit Warbler,Paruline à tête jaune,Setophaga occidentalis,HEWA,1.0
,Golden-cheeked Warbler,Paruline à dos noir,Setophaga chrysoparia,GCWA,2.0
,Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,BTNW,1.0
,Canada Warbler,Paruline du Canada,Cardellina canadensis,CAWA,1.0
,Wilson's Warbler,Paruline à calotte noire,Cardellina pusilla,WIWA,1.0
,Red-faced Warbler,Paruline à face rouge,Cardellina rubrifrons,RFWA,2.0
